Quarter,County,Waste Type,Waste Category,Waste Amount (tonnes)
,Clare,Non-Hazardous,Organic_Waste,"10,976.98"
01/04/2010,Cork County,Hazardous,C.h.e.m.i.c.a.l. W.a.s.t.e.,13132.460000000001
2010Q2,co. Cork,Hazardous,electronic waste (e-waste),10286.100000
01 April 2010,Cork,Hazardous,   Industrial Hazardous Waste  ,13399.450000
"April 01, 2010",Cork,Hazardous,medical waste,3823
"April 01, 2010",co. Cork,Non-Hazardous,agricultural waste,16655
2010Q2,Cork County,Non-Hazardous,construction and demolition waste,13823.220000
01/04/2010,Cork,Non-Hazardous,Industrial_Non-Hazardous_Waste,10672.120000
Q2 2010,Cork,Non-Hazardous,,"17,220.49"
01/04/2010,Cork,Non-Hazardous,Waste Organic,20941.53
2010Q2,county Donegal,Hazardous,C h e m i c a l  W a s t e ,15538
2010Q2,Donegal,Hazardous,Electronic Waste (E-Waste),20400
01 April 2010,Donegal,Hazardous,Hazardous Industrial Waste,"20,036.92"
01 April 2010,Co. Donegal,Hazardous,M e d i c a l  W a s t e ,7899.140000
2010Q2,Donegal,Non-Hazardous,Waste Agricultural,7540.709999999999
01 April 2010,nan Co.,Non-Hazardous,C.o.n.s.t.r.u.c.t.i.o.n. a.n.d. D.e.m.o.l.i.t.i.o.n. W.a.s.t.e.,12457.17
2010Q2,Donegal,Non-Hazardous,Industrial Non-Hazardous Waste,17042
"April 01, 2010",Donegal,Non-Hazardous,Municipal Solid Waste,14310.070000000002
Q4 2010,county Donegal,Non-Hazardous,Organic Waste,"9,581.29"
Q4 2010,Down,Hazardous,Chemical Waste,4378.33
"April 01, 2010",Down,Hazardous,   Electronic Waste (E-Waste)  ,5066.07
01/04/2010,Down,Hazardous,industrial hazardous waste,14561.890000
01 April 2010,Down,Hazardous,Waste Medical,10973.75
2010Q2,co. nan,Non-Hazardous,,20014.680000
2010Q2,County Down,Non-Hazardous,CONSTRUCTION AND DEMOLITION WASTE,17204.130000
2010Q2,Down,Non-Hazardous,   Industrial Non-Hazardous Waste  ,12861
Q3 2010,co. Down,Non-Hazardous,   Municipal Solid Waste  ,15256.220000
2010-04-01,Down,Non-Hazardous,   Organic Waste  ,16590
2010Q2,County Dublin,Hazardous,Chemical_Waste,19724
"April 01, 2010",co. Dublin,Hazardous,Electronic Waste (E-Waste),"18,159.91"
Q4 2010,Dublin co.,Hazardous,INDUSTRIAL HAZARDOUS WASTE,11322.35
2010Q2,Dublin co.,Hazardous,   Medical Waste  ,
01-04-2010,Dublin,Non-Hazardous,agricultural waste,17293.810000
01-04-2010,Dublin,Non-Hazardous,Construction and Demolition Waste,22868
"April 01, 2010",Dublin County,Non-Hazardous,   Industrial Non-Hazardous Waste  ,18422.45
2010Q2,Dublin Co.,Non-Hazardous,   Municipal Solid Waste  ,13264.570000
"April 01, 2010",Dublin,Non-Hazardous,O r g a n i c  W a s t e ,"5,217.35"
"April 01, 2010",Galway,Hazardous,Chemical_Waste,12418.68
"April 01, 2010",Galway,Hazardous,Electronic_Waste_(E-Waste),20636.68
,Galway,Hazardous,Hazardous Waste Industrial,"20,053.52"
2010-04-01,Galway county,Hazardous,Medical Waste,19878.680000
2010Q2,Galway,,A.g.r.i.c.u.l.t.u.r.a.l. W.a.s.t.e.,11714
2010Q2,Galway,Non-Hazardous,C.o.n.s.t.r.u.c.t.i.o.n. a.n.d. D.e.m.o.l.i.t.i.o.n. W.a.s.t.e.,"7,793.93"
2010Q2,Galway,Non-Hazardous,industrial non-hazardous waste,16527
2010Q2,Galway,Non-Hazardous,M u n i c i p a l  S o l i d  W a s t e ,6979
"April 01, 2010",Galway,Non-Hazardous,organic waste,16462.2
01/04/2010,Kerry County,Hazardous,CHEMICAL WASTE,"11,396.74"
2010-04-01,Kerry,Hazardous,E.l.e.c.t.r.o.n.i.c. W.a.s.t.e. (E.-W.a.s.t.e.),17186
01 April 2010,Kerry,Hazardous,   Industrial Hazardous Waste  ,18786.930000
2010Q2,Kerry,Hazardous,   Medical Waste  ,16505.21
01 April 2010,Kerry,Non-Hazardous,A g r i c u l t u r a l  W a s t e ,17108.810000
2010Q2,co. Kerry,Non-Hazardous,CONSTRUCTION AND DEMOLITION WASTE,11654
2010Q2,,Non-Hazardous,   Industrial Non-Hazardous Waste  ,13351.71
"April 01, 2010",Kerry,Non-Hazardous,Municipal Solid Waste,18010.77
01/04/2010,County Kerry,Non-Hazardous,Organic Waste,"13,249.11"
2010Q2,Kildare Co.,Hazardous,   Chemical Waste  ,"8,856.55"
01 April 2010,Kildare,Hazardous,   Electronic Waste (E-Waste)  ,14932
2010-04-01,Kildare,Hazardous,   Industrial Hazardous Waste  ,10602.810000
"April 01, 2010",Kildare County,Hazardous,   Medical Waste  ,9784
01 April 2010,Kildare,Non-Hazardous,agricultural waste,12316.48
"April 01, 2010",Kildare,Non-Hazardous,CONSTRUCTION AND DEMOLITION WASTE,12999.800000
01-04-2010,Kildare County,Non-Hazardous,   Industrial Non-Hazardous Waste  ,13608
,Kildare,Non-Hazardous,MUNICIPAL SOLID WASTE,8751.07
01-04-2010,Kildare,Non-Hazardous,ORGANIC WASTE,"20,024.62"
01 April 2010,Kilkenny,Hazardous,CHEMICAL WASTE,19087
01-04-2010,Kilkenny,Hazardous,ELECTRONIC WASTE (E-WASTE),18216
Q2 2010,,Hazardous,I.n.d.u.s.t.r.i.a.l. H.a.z.a.r.d.o.u.s. W.a.s.t.e.,"17,779.57"
2010 Q3,Kilkenny,Hazardous,Medical_Waste,"21,404.13"
2010Q2,,Non-Hazardous,A g r i c u l t u r a l  W a s t e ,"17,993.43"
2010Q2,Kilkenny,Non-Hazardous,   Construction and Demolition Waste  ,
2010-04-01,,Non-Hazardous,I n d u s t r i a l  N o n -H a z a r d o u s  W a s t e ,"14,101.34"
01-04-2010,county Kilkenny,Non-Hazardous,Municipal Solid Waste,"18,934.48"
2010Q2,Kilkenny,Non-Hazardous,O r g a n i c  W a s t e ,7916.289999999999
01/04/2010,Laois,Hazardous,C.h.e.m.i.c.a.l. W.a.s.t.e.,19130.010000000002
01-04-2010,county Laois,Hazardous,E.l.e.c.t.r.o.n.i.c. W.a.s.t.e. (E.-W.a.s.t.e.),20635
01-04-2010,Laois,Hazardous,INDUSTRIAL HAZARDOUS WASTE,21996.390000
2010Q2,Laois,Hazardous,Medical Waste,"9,698.86"
01/04/2010,Laois Co.,Non-Hazardous,A.g.r.i.c.u.l.t.u.r.a.l. W.a.s.t.e.,"13,176.70"
"April 01, 2010",Laois,Non-Hazardous,   nan  ,19397.809999999998
"April 01, 2010",Laois,Non-Hazardous,INDUSTRIAL NON-HAZARDOUS WASTE,13458
2010Q2,Laois,Non-Hazardous,Municipal Solid Waste,16688.190000
2010-04-01,Laois,Non-Hazardous,   Organic Waste  ,4574.080000
2010Q2,Limerick,Hazardous,Chemical Waste,6957.0
01 April 2010,Limerick co.,Hazardous,   Electronic Waste (E-Waste)  ,7086
Q4 2010,Limerick Co.,Hazardous,I.n.d.u.s.t.r.i.a.l. H.a.z.a.r.d.o.u.s. W.a.s.t.e.,12654.630000
01/04/2010,Limerick,Hazardous,Medical_Waste,12222
01 April 2010,Limerick co.,Non-Hazardous,   Agricultural Waste  ,9338
2010 Q4,Limerick,Non-Hazardous,Demolition Construction Waste and,8963
"April 01, 2010",Limerick,Non-Hazardous,I n d u s t r i a l  N o n -H a z a r d o u s  W a s t e ,9488.64
01 April 2010,Limerick,Non-Hazardous,MUNICIPAL SOLID WASTE,25149.900000
01/04/2010,Limerick,Non-Hazardous,organic waste,21186.49
2010Q2,Louth,Hazardous,Chemical Waste,"10,957.33"
,Louth,Hazardous,(E-Waste) Electronic Waste,15672.080000
"April 01, 2010",Louth,Hazardous,Industrial_Hazardous_Waste,"21,287.84"
2010 Q1,Louth,Hazardous,M.e.d.i.c.a.l. W.a.s.t.e.,14439
01/04/2010,Louth,Non-Hazardous,Waste Agricultural,21344.010000
2010-04-01,Louth,,C.o.n.s.t.r.u.c.t.i.o.n. a.n.d. D.e.m.o.l.i.t.i.o.n. W.a.s.t.e.,"15,696.70"
2010-04-01,Louth,Non-Hazardous,NAN,13550
2010-04-01,Louth,Non-Hazardous,M.u.n.i.c.i.p.a.l. S.o.l.i.d. W.a.s.t.e.,6967
2010Q2,Louth,Non-Hazardous,organic waste,
01 April 2010,Co. Mayo,Hazardous,C h e m i c a l  W a s t e ,"18,094.64"
,Mayo,Hazardous,   Electronic Waste (E-Waste)  ,12506.67
"April 01, 2010",,Hazardous,Industrial_Hazardous_Waste,13204
2010Q2,nan co.,Hazardous,Medical_Waste,18653.090000
2010-04-01,,Non-Hazardous,,13213.66
2010 Q3,Mayo County,Non-Hazardous,CONSTRUCTION AND DEMOLITION WASTE,18450
2010Q2,Mayo,Non-Hazardous,Industrial_Non-Hazardous_Waste,11436.470000
01-04-2010,Mayo,Non-Hazardous,   Municipal Solid Waste  ,"24,510.26"
2010-04-01,Mayo,Non-Hazardous,,19723
2010Q2,Meath,Hazardous,Chemical_Waste,10204.030000
"April 01, 2010",Meath,Hazardous,ELECTRONIC WASTE (E-WASTE),20362.129999999997
2010 Q3,Meath,Hazardous,Industrial Waste Hazardous,16853.230000
,Co. Meath,Hazardous,MEDICAL WASTE,16012.500000
2010 Q2,Meath,,Waste Agricultural,7469
"April 01, 2010",Meath,Non-Hazardous,C o n s t r u c t i o n  a n d  D e m o l i t i o n  W a s t e ,10065.910000
01/04/2010,Meath,Non-Hazardous,INDUSTRIAL NON-HAZARDOUS WASTE,11677.62
,Meath,,   Municipal Solid Waste  ,16151.340000
2010Q2,co. Meath,Non-Hazardous,Organic Waste,28859.510000000002
2010Q2,Monaghan,Hazardous,Chemical_Waste,"18,417.91"
2010Q2,Monaghan co.,Hazardous,Electronic_Waste_(E-Waste),"17,102.01"
2010Q2,Monaghan,Hazardous,Industrial Hazardous Waste,"11,638.50"
2010Q2,Monaghan county,Hazardous,Medical Waste,"14,900.50"
2010 Q4,Monaghan,Non-Hazardous,A g r i c u l t u r a l  W a s t e ,25134.180000
2010Q2,Monaghan,Non-Hazardous,C.o.n.s.t.r.u.c.t.i.o.n. a.n.d. D.e.m.o.l.i.t.i.o.n. W.a.s.t.e.,12452
"April 01, 2010",Monaghan county,Non-Hazardous,Industrial_Non-Hazardous_Waste,16978.489999999998
2010-04-01,Co. Monaghan,Non-Hazardous,Solid Municipal Waste,10425.760000
2010Q2,Monaghan,Non-Hazardous,O r g a n i c  W a s t e ,"8,464.78"
01-04-2010,co. Offaly,Hazardous,Chemical_Waste,18027.930000
Q1 2010,Offaly,Hazardous,   Electronic Waste (E-Waste)  ,22685.730000
01/04/2010,Offaly,Hazardous,Hazardous Waste Industrial,
2010Q2,Offaly Co.,Hazardous,   Medical Waste  ,15666
2010Q2,Offaly,Non-Hazardous,A g r i c u l t u r a l  W a s t e ,15492.220000
2010Q2,county Offaly,Non-Hazardous,CONSTRUCTION AND DEMOLITION WASTE,14417.990000
2010Q2,Offaly,Non-Hazardous,Industrial Non-Hazardous Waste,
2010Q2,Offaly,Non-Hazardous,MUNICIPAL SOLID WASTE,13255
2010-04-01,Offaly,Non-Hazardous,Organic Waste,"6,203.67"
2010Q2,Roscommon,Hazardous,chemical waste,
2010 Q2,Roscommon,Hazardous,electronic waste (e-waste),17592
2010Q2,co. Roscommon,Hazardous,INDUSTRIAL HAZARDOUS WASTE,"9,324.48"
01 April 2010,Roscommon county,Hazardous,MEDICAL WASTE,"13,853.43"
"April 01, 2010",co. Roscommon,Non-Hazardous,Waste Agricultural,15674
,Roscommon,Non-Hazardous,Construction and Demolition Waste,19293
"April 01, 2010",Roscommon,Non-Hazardous,n a n ,"17,294.87"
01-04-2010,Roscommon,Non-Hazardous,municipal solid waste,"16,585.45"
2010Q2,County Roscommon,Non-Hazardous,organic waste,"22,258.13"
2010Q2,Sligo,Hazardous,Chemical Waste,17115.559999999998
"April 01, 2010",Sligo,Hazardous,   Electronic Waste (E-Waste)  ,21268.170000
2010Q2,Sligo County,Hazardous,INDUSTRIAL HAZARDOUS WASTE,11940.03
2010Q2,Co. Sligo,Hazardous,M.e.d.i.c.a.l. W.a.s.t.e.,9554.130000
2010Q2,Sligo,Non-Hazardous,   Agricultural Waste  ,"20,310.31"
2010Q2,Sligo,Non-Hazardous,,10499
"April 01, 2010",Sligo,Non-Hazardous,INDUSTRIAL NON-HAZARDOUS WASTE,14744.050000000001
2010 Q3,Sligo,Non-Hazardous,MUNICIPAL SOLID WASTE,4713
,Sligo County,Non-Hazardous,Waste Organic,"20,125.21"
"April 01, 2010",Tipperary Co.,Hazardous,chemical waste,22178
Q3 2010,Tipperary,Hazardous,Electronic Waste (E-Waste),"16,265.25"
2010 Q1,Tipperary,Hazardous,I n d u s t r i a l  H a z a r d o u s  W a s t e ,"13,522.78"
"April 01, 2010",Tipperary,Hazardous,MEDICAL WASTE,6403.330000
2010Q2,Tipperary,Non-Hazardous,Agricultural_Waste,"17,941.47"
01 April 2010,Tipperary,Non-Hazardous,CONSTRUCTION AND DEMOLITION WASTE,"18,719.16"
2010Q2,Tipperary,Non-Hazardous,I.n.d.u.s.t.r.i.a.l. N.o.n.-H.a.z.a.r.d.o.u.s. W.a.s.t.e.,12436.890000
2010 Q3,Co. Tipperary,Non-Hazardous,MUNICIPAL SOLID WASTE,12991.810000
01/04/2010,Co. Tipperary,Non-Hazardous,O.r.g.a.n.i.c. W.a.s.t.e.,"7,951.17"
Q3 2010,Co. Waterford,Hazardous,C.h.e.m.i.c.a.l. W.a.s.t.e.,19871.530000
2010Q2,Waterford,Hazardous,   Electronic Waste (E-Waste)  ,"13,042.58"
01-04-2010,Waterford co.,Hazardous,Industrial Waste Hazardous,"18,788.93"
2010-04-01,Waterford,Hazardous,M.e.d.i.c.a.l. W.a.s.t.e.,4978.510000
,Waterford,Non-Hazardous,A g r i c u l t u r a l  W a s t e ,17457.829999999998
"April 01, 2010",Waterford,Non-Hazardous,C o n s t r u c t i o n  a n d  D e m o l i t i o n  W a s t e ,15341.05
01 April 2010,Waterford Co.,Non-Hazardous,Industrial Non-Hazardous Waste,8104.93
01 April 2010,Waterford Co.,Non-Hazardous,municipal solid waste,"13,886.02"
2010Q2,Waterford county,Non-Hazardous,O r g a n i c  W a s t e ,"17,640.29"
Q4 2010,Westmeath,Hazardous,chemical waste,17997
2010-04-01,Westmeath,Hazardous,Electronic_Waste_(E-Waste),15794
"April 01, 2010",Westmeath co.,Hazardous,Waste Hazardous Industrial,15017
2010Q2,Westmeath,Hazardous,Waste Medical,12913
2010Q2,Westmeath,Non-Hazardous,A.g.r.i.c.u.l.t.u.r.a.l. W.a.s.t.e.,18671
2010Q2,county Westmeath,Non-Hazardous,Demolition Construction Waste and,"4,565.57"
2010Q2,Westmeath,Non-Hazardous,n.a.n.,6656.94
2010Q2,Co. Westmeath,Non-Hazardous,Municipal_Solid_Waste,4882.8
"April 01, 2010",Westmeath,Non-Hazardous,organic waste,"11,735.47"
2010-04-01,Wexford,Hazardous,CHEMICAL WASTE,26953.46
2010Q2,Wexford County,Hazardous,   Electronic Waste (E-Waste)  ,15845.890000
Q3 2010,Wexford,Hazardous,INDUSTRIAL HAZARDOUS WASTE,15532.699999999999
2010-04-01,Wexford,Hazardous,   Medical Waste  ,22269
01 April 2010,Wexford,Non-Hazardous,Agricultural Waste,10970.58
01-04-2010,Wexford County,Non-Hazardous,construction and demolition waste,20854.2
01/04/2010,Co. Wexford,Non-Hazardous,   Industrial Non-Hazardous Waste  ,10653.27
01 April 2010,co. Wexford,Non-Hazardous,municipal solid waste,6764.87
2010Q2,Wexford,Non-Hazardous,organic waste,16396.890000
01/04/2010,Wicklow county,Hazardous,CHEMICAL WASTE,"14,114.27"
2010 Q1,Wicklow,Hazardous,E.l.e.c.t.r.o.n.i.c. W.a.s.t.e. (E.-W.a.s.t.e.),"18,185.61"
"April 01, 2010",Wicklow County,Hazardous,I.n.d.u.s.t.r.i.a.l. H.a.z.a.r.d.o.u.s. W.a.s.t.e.,12080.690000
01-04-2010,Wicklow,Hazardous,Waste Medical,12338.35
"April 01, 2010",Wicklow,Non-Hazardous,Waste Agricultural,"16,921.03"
01-04-2010,Wicklow,Non-Hazardous,construction and demolition waste,17768
,Wicklow,Non-Hazardous,Industrial_Non-Hazardous_Waste,7006.09
2010Q2,County Wicklow,Non-Hazardous,MUNICIPAL SOLID WASTE,12202.360000
2010Q2,county Wicklow,Non-Hazardous,Organic_Waste,9729.150000
2010Q3,Antrim,Hazardous,CHEMICAL WASTE,
2010Q3,Antrim,Hazardous,,19930.920000
01 July 2010,Co. Antrim,Hazardous,INDUSTRIAL HAZARDOUS WASTE,21569.830000
2010Q3,,Hazardous,Medical Waste,17658.39
2010Q3,Antrim,Non-Hazardous,A g r i c u l t u r a l  W a s t e ,"12,237.17"
01 July 2010,Co. Antrim,Non-Hazardous,Construction and Demolition Waste,
2010 Q3,Antrim county,Non-Hazardous,   Industrial Non-Hazardous Waste  ,16416
01/07/2010,Antrim,Non-Hazardous,M.u.n.i.c.i.p.a.l. S.o.l.i.d. W.a.s.t.e.,"9,701.62"
2010Q3,Antrim,Non-Hazardous,Organic Waste,10540.580000
01-07-2010,Carlow county,,CHEMICAL WASTE,8966.67
2010Q3,Carlow,Hazardous,ELECTRONIC WASTE (E-WASTE),"10,424.43"
01 July 2010,Carlow,Hazardous,Industrial_Hazardous_Waste,14573.300000
Q1 2010,Carlow,Hazardous,   Medical Waste  ,"18,119.96"
2010-07-01,Carlow,Non-Hazardous,Waste Agricultural,15329.3
Q4 2010,Carlow County,Non-Hazardous,Construction and Demolition Waste,"12,485.97"
2010Q3,Co. Carlow,Non-Hazardous,I n d u s t r i a l  N o n -H a z a r d o u s  W a s t e ,23145.020000
2010Q3,Carlow,,Municipal_Solid_Waste,227840.40000000002
,Carlow,Non-Hazardous,ORGANIC WASTE,14701
01-07-2010,Cavan County,Hazardous,CHEMICAL WASTE,"18,697.77"
2010 Q2,Cavan,Hazardous,n.a.n.,14964
"July 01, 2010",Cavan,Hazardous,Industrial_Hazardous_Waste,20023.260000
01/07/2010,County Cavan,Hazardous,   Medical Waste  ,12729
2010Q3,Cavan,Non-Hazardous,Agricultural_Waste,"14,308.43"
01-07-2010,Cavan,,Construction Waste Demolition and,8883.97
2010 Q3,Cavan,Non-Hazardous,Non-Hazardous Industrial Waste,13151
2010 Q2,Cavan,Non-Hazardous,MUNICIPAL SOLID WASTE,7909.320000000001
2010Q3,Cavan,Non-Hazardous,Organic Waste,25895.320000
01/07/2010,Clare,Hazardous,n.a.n.,"11,182.95"
2010Q3,nan co.,Hazardous,ELECTRONIC WASTE (E-WASTE),12456
Q1 2010,Clare,Hazardous,   Industrial Hazardous Waste  ,"183,916.40"
01/07/2010,Clare County,Hazardous,n a n ,
2010Q3,Clare,Non-Hazardous,Agricultural_Waste,"195,382.10"
2010Q3,Clare,Non-Hazardous,Construction and Demolition Waste,"11,193.23"
01 July 2010,Clare,Non-Hazardous,I.n.d.u.s.t.r.i.a.l. N.o.n.-H.a.z.a.r.d.o.u.s. W.a.s.t.e.,10388.029999999999
2010Q3,Clare,Non-Hazardous,   Municipal Solid Waste  ,14070
"July 01, 2010",co. Clare,Non-Hazardous,,27731.590000
2010Q3,Cork,Hazardous,   Chemical Waste  ,21228
2010Q3,Cork,Hazardous,   Electronic Waste (E-Waste)  ,"19,571.45"
"July 01, 2010",Cork Co.,Hazardous,Waste Hazardous Industrial,16977
01 July 2010,Co. Cork,Hazardous,medical waste,14346.310000
2010Q3,Co. Cork,Non-Hazardous,Agricultural_Waste,15760
2010Q3,,Non-Hazardous,C o n s t r u c t i o n  a n d  D e m o l i t i o n  W a s t e ,7328
2010Q3,Cork,Non-Hazardous,   Industrial Non-Hazardous Waste  ,8918.900000
01-07-2010,Cork,Non-Hazardous,Municipal Solid Waste,13018.18
2010-07-01,Cork,Non-Hazardous,Waste Organic,
01 July 2010,Donegal,Hazardous,chemical waste,"14,530.83"
2010-07-01,Donegal,Hazardous,Electronic Waste (E-Waste),"15,313.99"
2010-07-01,Donegal,Hazardous,Hazardous Industrial Waste,"5,850.40"
01-07-2010,Donegal,Hazardous,   Medical Waste  ,14459.180000
2010Q3,co. Donegal,Non-Hazardous,A.g.r.i.c.u.l.t.u.r.a.l. W.a.s.t.e.,"17,827.00"
2010-07-01,Donegal,Non-Hazardous,   Construction and Demolition Waste  ,"20,007.82"
2010Q3,Donegal,Non-Hazardous,Industrial_Non-Hazardous_Waste,13315
Q2 2010,Donegal county,Non-Hazardous,Municipal_Solid_Waste,11385
01-07-2010,Donegal,Non-Hazardous,ORGANIC WASTE,"15,757.42"
Q2 2010,Down,Hazardous,chemical waste,"6,341.76"
2010 Q4,Down County,Hazardous,E l e c t r o n i c  W a s t e  (E -W a s t e ),13849
01-07-2010,Down County,Hazardous,Industrial_Hazardous_Waste,"22,510.66"
2010-07-01,Down county,Hazardous,,14725.4
"July 01, 2010",Down,Non-Hazardous,Waste Agricultural,14944.720000000001
2010Q3,Down,Non-Hazardous,construction and demolition waste,"11,490.53"
01/07/2010,Down,Non-Hazardous,Industrial Non-Hazardous Waste,"8,899.44"
2010-07-01,Down,Non-Hazardous,Municipal Waste Solid,15653.020000
2010-07-01,Down,Non-Hazardous,O r g a n i c  W a s t e ,13142.830000
2010Q3,Dublin,Hazardous,   Chemical Waste  ,19847.12
2010Q3,Dublin,Hazardous,Electronic Waste (E-Waste),6669.12
01 July 2010,Dublin,Hazardous,Waste Hazardous Industrial,"25,544.44"
2010Q3,Dublin co.,Hazardous,M e d i c a l  W a s t e ,"18,937.53"
Q4 2010,Dublin,Non-Hazardous,Agricultural_Waste,"16,860.75"
Q4 2010,Dublin,Non-Hazardous,CONSTRUCTION AND DEMOLITION WASTE,15494
2010Q3,Dublin,Non-Hazardous,Industrial_Non-Hazardous_Waste,18726.2
"July 01, 2010",Dublin County,Non-Hazardous,Municipal Solid Waste,12649
01 July 2010,Dublin,,O r g a n i c  W a s t e ,10697.300000000001
2010Q3,Galway,Hazardous,CHEMICAL WASTE,"7,982.90"
2010-07-01,Galway,Hazardous,Electronic_Waste_(E-Waste),"10,514.80"
2010Q3,Galway,Hazardous,industrial hazardous waste,15801.440000
"July 01, 2010",Galway,Hazardous,medical waste,"23,077.19"
2010Q3,Galway,,,22222
Q3 2010,Co. Galway,Non-Hazardous,Construction_and_Demolition_Waste,"15,005.03"
2010Q3,Galway county,Non-Hazardous,INDUSTRIAL NON-HAZARDOUS WASTE,"16,924.16"
2010Q3,Galway,Non-Hazardous,M.u.n.i.c.i.p.a.l. S.o.l.i.d. W.a.s.t.e.,12182.85
2010Q3,Galway,Non-Hazardous,organic waste,"12,425.44"
01/07/2010,nan county,Hazardous,C h e m i c a l  W a s t e ,"16,204.38"
2010 Q1,Kerry,,   Electronic Waste (E-Waste)  ,20283.240000
2010Q3,Kerry,Hazardous,Industrial_Hazardous_Waste,3016.940000
2010-07-01,Kerry,Hazardous,   Medical Waste  ,10863.970000000001
2010Q3,county Kerry,Non-Hazardous,A.g.r.i.c.u.l.t.u.r.a.l. W.a.s.t.e.,13340.030000
"July 01, 2010",Kerry,,C o n s t r u c t i o n  a n d  D e m o l i t i o n  W a s t e ,13293.7
2010Q3,,Non-Hazardous,Non-Hazardous Waste Industrial,11175
01-07-2010,Kerry,Non-Hazardous,M.u.n.i.c.i.p.a.l. S.o.l.i.d. W.a.s.t.e.,"17,584.59"
01/07/2010,Kerry County,Non-Hazardous,Organic Waste,15872.78
01-07-2010,Kildare,Hazardous,CHEMICAL WASTE,9490.440000
"July 01, 2010",Kildare,Hazardous,ELECTRONIC WASTE (E-WASTE),11963.150000
01/07/2010,Kildare,Hazardous,   Industrial Hazardous Waste  ,
01-07-2010,Kildare,Hazardous,Medical Waste,42937
2010-07-01,Kildare,Non-Hazardous,   Agricultural Waste  ,"7,930.07"
2010Q3,,Non-Hazardous,C.o.n.s.t.r.u.c.t.i.o.n. a.n.d. D.e.m.o.l.i.t.i.o.n. W.a.s.t.e.,16861.940000
2010Q3,Kildare Co.,Non-Hazardous,Industrial Waste Non-Hazardous,"26,123.21"
2010Q3,Kildare,Non-Hazardous,M u n i c i p a l  S o l i d  W a s t e ,13990.02
01 July 2010,Kildare Co.,Non-Hazardous,n a n ,13729.050000
2010-07-01,Kilkenny,Hazardous,Chemical Waste,11061.57
2010Q3,Kilkenny,Hazardous,Electronic_Waste_(E-Waste),21752.690000
01 July 2010,Kilkenny,Hazardous,Industrial_Hazardous_Waste,"15,004.50"
Q1 2010,Kilkenny,Hazardous,Waste Medical,5157
01 July 2010,Kilkenny,Non-Hazardous,A g r i c u l t u r a l  W a s t e ,23543.910000
Q1 2010,Kilkenny,Non-Hazardous,Construction_and_Demolition_Waste,19831.02
2010Q3,Kilkenny,Non-Hazardous,I.n.d.u.s.t.r.i.a.l. N.o.n.-H.a.z.a.r.d.o.u.s. W.a.s.t.e.,"10,163.27"
2010Q3,Co. Kilkenny,Non-Hazardous,M u n i c i p a l  S o l i d  W a s t e ,"15,496.45"
01/07/2010,Kilkenny,Non-Hazardous,   Organic Waste  ,"19,804.25"
"July 01, 2010",Laois,Hazardous,C h e m i c a l  W a s t e ,17408
01 July 2010,Laois,Hazardous,ELECTRONIC WASTE (E-WASTE),"12,256.96"
2010Q3,Laois County,Hazardous,Industrial_Hazardous_Waste,13740
2010Q3,Laois,Hazardous,   Medical Waste  ,20617.35
"July 01, 2010",Laois,Non-Hazardous,A.g.r.i.c.u.l.t.u.r.a.l. W.a.s.t.e.,13404.470000000001
2010Q3,Laois,Non-Hazardous,C.o.n.s.t.r.u.c.t.i.o.n. a.n.d. D.e.m.o.l.i.t.i.o.n. W.a.s.t.e.,9641.810000
01/07/2010,Laois,Non-Hazardous,INDUSTRIAL NON-HAZARDOUS WASTE,"16,183.20"
2010Q3,Laois,Non-Hazardous,Municipal_Solid_Waste,13178
,Laois,Non-Hazardous,O.r.g.a.n.i.c. W.a.s.t.e.,20546.030000
01 July 2010,Limerick County,Hazardous,CHEMICAL WASTE,12383.58
Q4 2010,Limerick County,Hazardous,E l e c t r o n i c  W a s t e  (E -W a s t e ),"19,435.48"
"July 01, 2010",Limerick,Hazardous,industrial hazardous waste,"25,988.91"
Q2 2010,Limerick,,Medical_Waste,11228.29
2010Q3,Limerick,Non-Hazardous,Agricultural_Waste,"20,150.43"
2010Q3,Limerick,Non-Hazardous,CONSTRUCTION AND DEMOLITION WASTE,9811.250000
01-07-2010,Limerick,,Industrial_Non-Hazardous_Waste,17428.480000
01/07/2010,Limerick,Non-Hazardous,MUNICIPAL SOLID WASTE,22969.600000
Q4 2010,Limerick County,Non-Hazardous,O r g a n i c  W a s t e ,18078.370000000003
"July 01, 2010",Louth,Hazardous,Chemical Waste,19591.559999999998
2010-07-01,Louth,Hazardous,E l e c t r o n i c  W a s t e  (E -W a s t e ),"25,093.83"
01/07/2010,Louth,Hazardous,Industrial Hazardous Waste,
2010Q3,Louth,Hazardous,Waste Medical,10462
2010-07-01,Louth,Non-Hazardous,A g r i c u l t u r a l  W a s t e ,16535.740000
2010Q3,Louth,Non-Hazardous,Construction_and_Demolition_Waste,16431.04
2010Q3,Louth,Non-Hazardous,industrial non-hazardous waste,23701.470000
01 July 2010,nan County,Non-Hazardous,Solid Waste Municipal,19740.300000
Q4 2010,Louth,Non-Hazardous,Organic Waste,"20,987.41"
Q2 2010,County Mayo,Hazardous,Waste Chemical,8200.59
01/07/2010,Mayo,Hazardous,Electronic Waste (E-Waste),9380.660000
01 July 2010,Mayo,Hazardous,I n d u s t r i a l  H a z a r d o u s  W a s t e ,"23,466.42"
2010Q3,Mayo,Hazardous,Medical_Waste,11855
