Quarter,County,Waste Type,Waste Category,Treatment Method,Waste Amount (tonnes),Price of Treatment (€ per tonne)
2007_Q4,Laois,Hazardous,Electronic Waste,Recovery - Recycling,16750.85,56.0
2007_Q3,,Hazardous,Electronic Waste,Disposal - Other,1861.2,246.0
2007_Q4,Laois,,Industrial Hazardous Waste,,6066.1,78.55
2007_Q4,Laois,Hazardous,Industrial Hazardous Waste,Disposal - Other,4044.06,74.0
2007_Q4,Laois,Hazardous,Medical Waste,Disposal - Incineration,7645.74,317.09
2007_Q4,Laois,Hazardous,Medical Waste,Disposal - Other,1911.44,71.9
2007_Q4,Laois,Non-Hazardous,,,7635.49,58.99
2007_Q1,Laois,Non-Hazardous,Agricultural Waste,Recovery - Composting,7635.49,51.22
2007_Q4,Laois,Non-Hazardous,Agricultural Waste,Disposal - Other,38177.5,71.88
2007_Q4,,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,5894.38,45.83
2007_Q4,Laois,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,13753.56,30.0
2007_Q4,Laois,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,8072.9,64.66
2007_Q4,Laois,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,8072.9,50.66
2007_Q4,Laois,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,4036.45,43.28
2007_Q1,Laois,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,5969.46,63.0
2007_Q4,Laois,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,3581.68,65.69
,Laois,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,2387.78,74.27
2007_Q4,Laois,,Organic Waste,Recovery - Composting,9360.4,52.0
2007_Q4,Laois,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,4011.6,51.64
2007_Q4,Limerick,Hazardous,Chemical Waste,Disposal - Incineration,16755.7,283.43
,Limerick,Hazardous,Chemical Waste,,7181.01,70.82
2007_Q4,Limerick,,Electronic Waste,Recovery - Recycling,16585.79,264.67
2007_Q4,Limerick,,Electronic Waste,Disposal - Other,1842.87,68.31
2007_Q1,Limerick,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,6471.59,262.0
2007_Q4,Limerick,Hazardous,Industrial Hazardous Waste,Disposal - Other,4314.39,483.16
2007_Q4,Limerick,Hazardous,Medical Waste,Disposal - Incineration,,358.16
2007_Q4,Limerick,Hazardous,Medical Waste,Disposal - Other,3702.39,53.74
2007_Q4,Limerick,Non-Hazardous,Agricultural Waste,Disposal - Landfill,5788.42,71.0
2007_Q4,Limerick,Non-Hazardous,Agricultural Waste,Recovery - Composting,5788.42,55.03
2007_Q4,Limerick,Non-Hazardous,Agricultural Waste,Disposal - Other,2894.0,56.25
2007_Q4,Limerick,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,5224.3,66.17
2007_Q1,Limerick,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,12190.04,63.76
2007_Q1,Limerick,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,9573.09,53.91
2007_Q4,,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,9573.09,50.29
2007_Q4,Limerick,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,4786.54,77.0
2007_Q4,Limerick,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,6922.49,65.0
2007_Q1,Limerick,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,4153.49,66.0
2007_Q4,Limerick,,Municipal Solid Waste,Recovery - Energy Recovery,2769.0,52.05
2007_Q3,Limerick,Non-Hazardous,Organic Waste,Recovery - Composting,8838.08,65.49
2007_Q4,Limerick,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,3787.75,62.14
2007_Q4,Louth,Hazardous,,Disposal - Incineration,7093.6,75.82
2007_Q4,Louth,Hazardous,Chemical Waste,Disposal - Other,3040.11,67.61
2007_Q4,Louth,Hazardous,Electronic Waste,,19381.39,71.35
2007_Q4,,Hazardous,Electronic Waste,Disposal - Other,2153.49,60.0
2007_Q4,Louth,,Industrial Hazardous Waste,Disposal - Incineration,8448.79,57.84
2007_Q1,Louth,Hazardous,Industrial Hazardous Waste,Disposal - Other,5632.53,57.59
2007_Q1,Louth,Hazardous,Medical Waste,Disposal - Incineration,3927.0,70.0
2007_Q4,Louth,Hazardous,Medical Waste,Disposal - Other,981.86,393.32
2007_Q4,Louth,Non-Hazardous,Agricultural Waste,,3136.04,64.0
2007_Q4,Louth,Non-Hazardous,Agricultural Waste,Recovery - Composting,3136.04,41.16
2007_Q4,Louth,Non-Hazardous,Agricultural Waste,Disposal - Other,1568.02,35.29
2007_Q1,Louth,Non-Hazardous,Construction and Demolition Waste,,5031.52,56.21
2007_Q4,Louth,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,11740.2,69.0
2007_Q4,Louth,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,5704.01,64.57
2007_Q4,Louth,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,5704.01,62.71
2007_Q4,Louth,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,2.8522852285228523e+39,72.0
2007_Q1,Louth,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,,61.0
2007_Q4,Louth,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,2484.65,64.82
2007_Q4,Louth,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,1656.43,70.68
2007_Q4,Louth,Non-Hazardous,Organic Waste,Recovery - Composting,11972.84,54.25
2007_Q3,Louth,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,5131.22,79.0
2007_Q4,,Hazardous,Chemical Waste,Disposal - Incineration,7760.68,63.46
2007_Q4,Mayo,Hazardous,Chemical Waste,Disposal - Other,3326.01,265.72
2007_Q4,Mayo,Hazardous,,Recovery - Recycling,16723.8,79.49
2007_Q1,Mayo,Hazardous,Electronic Waste,Disposal - Other,1858.2,233.0
2007_Q4,Mayo,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,4376.67,497.74
2007_Q4,Mayo,Hazardous,Industrial Hazardous Waste,Disposal - Other,2917.0,51.02
2007_Q4,Mayo,Hazardous,Medical Waste,Disposal - Incineration,,486.0
2007_Q4,Mayo,,Medical Waste,Disposal - Other,3675.44,69.0
2007_Q1,Mayo,Non-Hazardous,Agricultural Waste,Disposal - Landfill,5411.68,69.0
2007_Q4,Mayo,Non-Hazardous,Agricultural Waste,Recovery - Composting,5411.68,43.07
2007_Q4,Mayo,Non-Hazardous,Agricultural Waste,Disposal - Other,,58.08
2007_Q1,Mayo,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,3514.37,71.99
2007_Q4,Mayo,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,8200.21,28.9
2007_Q1,Mayo,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,2172.02,70.43
2007_Q4,Mayo,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,2172.02,63.38
2007_Q4,Mayo,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,1086.01,78.4
2007_Q4,Mayo,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,8613.82,62.94
2007_Q1,Mayo,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,5168.29,75.63
2007_Q1,Mayo,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,3445.53,52.36
2007_Q4,Mayo,Non-Hazardous,Organic Waste,Recovery - Composting,6732.47,58.0
2007_Q4,Mayo,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,2885.34,42.66
2007_Q4,,Hazardous,Chemical Waste,Disposal - Incineration,8272.77,350.0
2007_Q1,Meath,Hazardous,Chemical Waste,Disposal - Other,3545.47,389.92
2007_Q4,Meath,Hazardous,Electronic Waste,Recovery - Recycling,20823.55,197.39
2007_Q4,Meath,Hazardous,Electronic Waste,Disposal - Other,2313.73,73.92
2007_Q1,Meath,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,3683.23,70.62
2007_Q4,Meath,Hazardous,Industrial Hazardous Waste,Disposal - Other,2455.48,254.64
2007_Q4,Meath,Hazardous,Medical Waste,Disposal - Incineration,12486.22,315.9
2007_Q4,Meath,Hazardous,Medical Waste,Disposal - Other,3121.56,79.5
2007_Q1,Meath,Non-Hazardous,Agricultural Waste,,2385.57,68.06
2007_Q1,Meath,Non-Hazardous,Agricultural Waste,Recovery - Composting,2385.0,79.0
2007_Q4,Meath,Non-Hazardous,Agricultural Waste,Disposal - Other,11927.9,69.08
2007_Q1,Meath,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,4622.46,67.75
2007_Q4,Meath,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,10785.75,70.0
2007_Q4,Meath,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,8419.64,64.45
2007_Q1,Meath,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,8419.64,60.27
,Meath,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,4209.82,56.8
2007_Q4,Meath,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,6839.07,55.84
2007_Q4,Meath,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,4103.44,51.94
2007_Q4,Meath,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,2735.63,75.08
2007_Q1,Meath,Non-Hazardous,Organic Waste,Recovery - Composting,10040.12,46.03
2007_Q4,Meath,Non-Hazardous,Organic Waste,,4302.91,78.24
2007_Q4,Monaghan,,,,12379.56,76.0
2007_Q4,Monaghan,Hazardous,Chemical Waste,Disposal - Other,5305.53,76.22
2007_Q4,Monaghan,Hazardous,Electronic Waste,Recovery - Recycling,17769.71,58.88
2007_Q1,Monaghan,Hazardous,Electronic Waste,Disposal - Other,1974.0,210.9
2007_Q1,Monaghan,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,4978.84,67.0
2007_Q4,Monaghan,Hazardous,Industrial Hazardous Waste,Disposal - Other,3319.22,71.51
,Monaghan,Hazardous,Medical Waste,Disposal - Incineration,13485.71,79.29
2007_Q4,Monaghan,Hazardous,Medical Waste,Disposal - Other,3371.43,55.37
2007_Q4,Monaghan,Non-Hazardous,Agricultural Waste,Disposal - Landfill,5844.38,63.84
2007_Q4,Monaghan,Non-Hazardous,Agricultural Waste,Recovery - Composting,5844.38,57.0
2007_Q3,Monaghan,Non-Hazardous,Agricultural Waste,Disposal - Other,2922.19,56.96
2007_Q4,Monaghan,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,3291.45,56.33
2007_Q4,Monaghan,Non-Hazardous,Construction and Demolition Waste,,,67.35
2007_Q4,Monaghan,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,8433.76,58.13
2007_Q1,Monaghan,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,8433.76,62.0
2007_Q4,Monaghan,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,4216.88,53.21
2007_Q4,Monaghan,Non-Hazardous,,Disposal - Landfill,6347.18,67.61
2007_Q4,Monaghan,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,3808.3,60.31
2007_Q4,,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,2538.87,54.78
2007_Q4,Monaghan,Non-Hazardous,Organic Waste,Recovery - Composting,5827.46,45.76
2007_Q1,Monaghan,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,2497.48,71.0
2007_Q4,Offaly,Hazardous,Chemical Waste,Disposal - Incineration,,74.51
2007_Q4,Offaly,Hazardous,Chemical Waste,Disposal - Other,4733.48,60.48
2007_Q3,Offaly,Hazardous,Electronic Waste,Recovery - Recycling,13501.0,61.72
2007_Q4,Offaly,Hazardous,Electronic Waste,Disposal - Other,1500.15,55.53
2007_Q4,Offaly,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,2981.23,75.0
2007_Q1,Offaly,Hazardous,Industrial Hazardous Waste,Disposal - Other,1987.48,58.0
2007_Q4,Offaly,Hazardous,Medical Waste,Disposal - Incineration,11376.12,61.78
2007_Q4,Offaly,Hazardous,Medical Waste,Disposal - Other,2844.03,569.74
2007_Q4,Offaly,Non-Hazardous,Agricultural Waste,Disposal - Landfill,3989.76,44.98
2007_Q4,Offaly,Non-Hazardous,Agricultural Waste,Recovery - Composting,3989.0,51.93
2007_Q1,Offaly,Non-Hazardous,,Disposal - Other,,60.0
,Offaly,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,4837.14,22.0
2007_Q4,Offaly,,Construction and Demolition Waste,Recovery - Recycling,11286.67,78.12
2007_Q4,Offaly,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,5155.45,40.78
2007_Q4,Offaly,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,5155.45,51.95
2007_Q4,Offaly,Non-Hazardous,,Recovery - Energy Recovery,2577.73,54.0
2007_Q4,Offaly,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,7577.2,63.54
2007_Q4,Offaly,Non-Hazardous,,Recovery - Recycling,4546.32,75.36
2007_Q4,Offaly,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,3030.88,72.82
2007_Q1,Offaly,Non-Hazardous,Organic Waste,Recovery - Composting,17456.0,73.0
2007_Q4,Offaly,Non-Hazardous,Organic Waste,,7481.32,40.27
2007_Q4,Roscommon,Hazardous,Chemical Waste,Disposal - Incineration,14761.79,55.61
2007_Q4,Roscommon,Hazardous,Chemical Waste,Disposal - Other,6326.48,59.0
2007_Q4,Roscommon,Hazardous,Electronic Waste,Recovery - Recycling,16620.28,50.32
2007_Q4,Roscommon,Hazardous,Electronic Waste,Disposal - Other,1846.7,68.84
2007_Q1,Roscommon,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,7445.0,60.57
2007_Q1,Roscommon,Hazardous,,Disposal - Other,4963.48,55.0
2007_Q4,Roscommon,Hazardous,Medical Waste,Disposal - Incineration,8682.26,63.0
2007_Q4,Roscommon,Hazardous,Medical Waste,Disposal - Other,2170.56,75.87
2007_Q4,Roscommon,Non-Hazardous,Agricultural Waste,Disposal - Landfill,5564.73,54.65
2007_Q4,Roscommon,Non-Hazardous,Agricultural Waste,Recovery - Composting,5564.73,57.0
2007_Q4,Roscommon,Non-Hazardous,Agricultural Waste,Disposal - Other,,69.0
2007_Q4,Roscommon,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,3018.18,36.31
2007_Q1,Roscommon,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,7042.43,69.21
2007_Q4,Roscommon,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,6830.53,59.33
2007_Q1,Roscommon,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,6830.53,76.0
2007_Q4,Roscommon,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,3415.26,52.0
2007_Q4,Roscommon,,Municipal Solid Waste,Disposal - Landfill,6710.07,79.22
2007_Q4,Roscommon,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,4026.04,52.0
2007_Q4,Roscommon,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,2684.03,70.0
2007_Q4,Roscommon,Non-Hazardous,Organic Waste,Recovery - Composting,9190.02,40.13
2007_Q4,Roscommon,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,3938.58,60.99
,Sligo,Hazardous,Chemical Waste,Disposal - Incineration,11162.85,51.89
2007_Q4,Sligo,Hazardous,Chemical Waste,Disposal - Other,4784.08,77.96
2007_Q4,Sligo,Hazardous,,Recovery - Recycling,13748.36,50.0
2007_Q4,Sligo,,Electronic Waste,Disposal - Other,1527.6,289.01
2007_Q1,Sligo,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,12612.41,76.06
2007_Q4,Sligo,Hazardous,Industrial Hazardous Waste,Disposal - Other,8408.27,77.35
2007_Q4,Sligo,Hazardous,Medical Waste,Disposal - Incineration,11179.01,68.0
2007_Q1,Sligo,Hazardous,Medical Waste,Disposal - Other,2794.75,71.12
2007_Q4,Sligo,Non-Hazardous,Agricultural Waste,Disposal - Landfill,3002.62,67.51
2007_Q1,Sligo,Non-Hazardous,Agricultural Waste,Recovery - Composting,,38.0
2007_Q4,Sligo,Non-Hazardous,Agricultural Waste,Disposal - Other,1501.31,73.0
2007_Q4,Sligo,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,2354.21,64.7
2007_Q1,Sligo,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,,52.48
2007_Q4,Sligo,Non-Hazardous,Industrial Non-Hazardous Waste,,4033.81,74.84
2007_Q3,Sligo,Non-Hazardous,,Recovery - Recycling,4033.81,54.55
2007_Q4,Sligo,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,2016.91,52.04
2007_Q4,Sligo,,Municipal Solid Waste,Disposal - Landfill,8413.53,54.8
2007_Q4,Sligo,Non-Hazardous,,Recovery - Recycling,5048.0,72.82
2007_Q1,Sligo,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,3365.41,57.48
2007_Q4,Sligo,Non-Hazardous,Organic Waste,Recovery - Composting,8076.03,63.0
2007_Q1,Sligo,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,3461.16,77.73
2007_Q4,Tipperary,Hazardous,Chemical Waste,Disposal - Incineration,16243.0,77.6
2007_Q4,Tipperary,Hazardous,Chemical Waste,Disposal - Other,6961.71,79.0
2007_Q4,Tipperary,Hazardous,Electronic Waste,Recovery - Recycling,161783.1,78.34
,Tipperary,Hazardous,Electronic Waste,,17975.9,79.0
2007_Q4,Tipperary,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,10101.45,76.26
2007_Q1,Tipperary,Hazardous,Industrial Hazardous Waste,Disposal - Other,6734.3,68.49
2007_Q4,Tipperary,,Medical Waste,Disposal - Incineration,9801.25,507.81
2007_Q1,Tipperary,Hazardous,Medical Waste,Disposal - Other,2450.31,76.0
2007_Q4,Tipperary,Non-Hazardous,Agricultural Waste,Disposal - Landfill,1008.63,58.19
2007_Q4,Tipperary,Non-Hazardous,Agricultural Waste,Recovery - Composting,1008.63,34.52
2007_Q4,Tipperary,,Agricultural Waste,,504.31,42.0
2007_Q4,Tipperary,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,3637.84,79.54
2007_Q1,Tipperary,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,8488.0,71.78
2007_Q4,Tipperary,Non-Hazardous,,Disposal - Landfill,6846.85,77.75
2007_Q4,Tipperary,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,6846.85,47.33
2007_Q1,Tipperary,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,3423.42,59.15
2007_Q4,Tipperary,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,5390.27,58.08
2007_Q1,Tipperary,Non-Hazardous,,Recovery - Recycling,3234.16,57.0
2007_Q4,Tipperary,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,2156.11,68.15
2007_Q4,Tipperary,Non-Hazardous,Organic Waste,Recovery - Composting,9669.05,62.83
2007_Q4,Tipperary,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,4143.88,77.11
2007_Q4,Waterford,Hazardous,Chemical Waste,Disposal - Incineration,11983.87,251.8
2007_Q4,Waterford,Hazardous,Chemical Waste,Disposal - Other,5135.94,55.52
2007_Q4,Waterford,Hazardous,Electronic Waste,Recovery - Recycling,5337.4,55.0
,Waterford,Hazardous,Electronic Waste,Disposal - Other,593.04,77.73
2007_Q4,Waterford,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,9114.62,383.67
2007_Q4,Waterford,Hazardous,Industrial Hazardous Waste,,6076.42,64.05
2007_Q2,Waterford,Hazardous,Medical Waste,Disposal - Incineration,9414.38,457.0
2007_Q4,Waterford,Hazardous,Medical Waste,Disposal - Other,2353.6,355.09
2007_Q4,Waterford,Non-Hazardous,Agricultural Waste,Disposal - Landfill,4840.2,50.0
2007_Q4,,Non-Hazardous,,Recovery - Composting,4840.2,67.71
2007_Q4,Waterford,Non-Hazardous,Agricultural Waste,Disposal - Other,,52.38
2007_Q4,Waterford,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,6135.06,66.96
2007_Q4,Waterford,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,14315.13,69.0
2007_Q4,Waterford,,Industrial Non-Hazardous Waste,Disposal - Landfill,8694.0,57.19
2007_Q4,Waterford,Non-Hazardous,Industrial Hazardous Waste,Recovery - Recycling,8694.13,71.88
2007_Q4,Waterford,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,4347.06,49.75
2007_Q4,Waterford,Non-Hazardous,,Disposal - Landfill,4172.36,76.0
2007_Q1,Waterford,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,2503.0,61.0
2007_Q4,Waterford,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,1668.94,50.0
2007_Q4,Waterford,Non-Hazardous,Organic Waste,Recovery - Composting,9898.36,63.5
2007_Q2,Waterford,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,4242.0,76.58
2007_Q3,Westmeath,Hazardous,Chemical Waste,Disposal - Incineration,11830.45,330.97
2007_Q4,Westmeath,Hazardous,Chemical Waste,Disposal - Other,5070.19,311.0
2007_Q4,Westmeath,Hazardous,Electronic Waste,Recovery - Recycling,9271.79,73.76
2007_Q4,Westmeath,Hazardous,Electronic Waste,Disposal - Other,1030.2,70.28
2007_Q4,Westmeath,,Industrial Hazardous Waste,Disposal - Incineration,9470.44,299.9
2007_Q4,Westmeath,Hazardous,Industrial Hazardous Waste,,6313.63,71.33
2007_Q4,Westmeath,Hazardous,Medical Waste,Disposal - Incineration,5852.19,73.0
2007_Q1,Westmeath,Hazardous,Medical Waste,Disposal - Other,1463.05,62.34
2007_Q4,Westmeath,Non-Hazardous,Agricultural Waste,Disposal - Landfill,4059.0,46.61
2007_Q4,Westmeath,Non-Hazardous,Agricultural Waste,Recovery - Composting,,78.18
2007_Q4,Westmeath,Non-Hazardous,Agricultural Waste,Disposal - Other,2029.87,59.0
,Westmeath,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,4055.03,61.32
2007_Q4,Westmeath,Non-Hazardous,,Recovery - Recycling,9461.74,76.0
2007_Q4,Westmeath,Non-Hazardous,Industrial Hazardous Waste,,5004.6,59.03
2007_Q1,Westmeath,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,5004.6,79.07
2007_Q4,Westmeath,Non-Hazardous,Industrial Non-Hazardous Waste,,2502.3,52.37
2007_Q1,Westmeath,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,8851.31,68.0
2007_Q1,Westmeath,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,5310.79,77.66
2007_Q1,Westmeath,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,3540.52,54.3
2007_Q4,Westmeath,Non-Hazardous,Organic Waste,Recovery - Composting,7328.35,60.1
2007_Q4,Westmeath,Non-Hazardous,Organic Waste,Recovery - Energy Recovery,31407.2,54.36
2007_Q1,Wexford,Hazardous,Chemical Waste,Disposal - Incineration,9602.85,69.65
2007_Q3,Wexford,Hazardous,Chemical Waste,Disposal - Other,4115.51,216.9
2007_Q4,Wexford,Hazardous,Electronic Waste,Recovery - Recycling,5486.81,59.29
2007_Q4,Wexford,Hazardous,Electronic Waste,Disposal - Other,609.65,57.0
2007_Q4,Wexford,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,11453.49,73.0
2007_Q4,Wexford,Hazardous,Industrial Hazardous Waste,Disposal - Other,7635.66,68.06
2007_Q4,Wexford,Hazardous,Medical Waste,Disposal - Incineration,19538.51,60.45
2007_Q4,Wexford,Hazardous,Medical Waste,Disposal - Other,4884.0,72.0
2007_Q4,Wexford,Non-Hazardous,Agricultural Waste,Disposal - Landfill,6981.0,57.0
,Wexford,Non-Hazardous,Agricultural Waste,,6981.3,61.45
2007_Q4,Wexford,Non-Hazardous,Agricultural Waste,Disposal - Other,3490.65,75.06
2007_Q4,Wexford,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,3705.94,57.0
2007_Q4,Wexford,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,8647.2,77.82
2007_Q4,Wexford,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,8486.87,63.9
2007_Q4,Wexford,Non-Hazardous,Industrial Non-Hazardous Waste,,8486.87,42.4
2007_Q4,Wexford,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,4243.44,61.35
2007_Q4,,Non-Hazardous,Municipal Solid Waste,Disposal - Landfill,3901.45,62.96
2007_Q4,Wexford,Non-Hazardous,N A N,Recovery - Recycling,2340.87,62.26
2007_Q4,Wexford,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,1560.58,53.77
2007_Q4,Wexford,Non-Hazardous,Organic Waste,Recovery - Composting,9289.75,55.0
2007_Q1,Wexford,Non-Hazardous,,Recovery - Energy Recovery,3981.32,79.05
2007_Q4,Wicklow,Hazardous,Chemical Waste,Disposal - Incineration,15765.6,60.0
2007_Q4,Wicklow,Hazardous,Chemical Waste,Disposal - Other,6756.68,357.09
2007_Q4,Wicklow,Hazardous,Electronic Waste,Recovery - Recycling,17474.89,73.0
2007_Q1,Wicklow,Hazardous,Electronic Waste,Disposal - Other,1941.65,59.2
2007_Q4,Wicklow,Hazardous,Industrial Hazardous Waste,Disposal - Incineration,3637.19,58.21
2007_Q4,Wicklow,Hazardous,Industrial Hazardous Waste,Disposal - Other,2424.8,54.44
2007_Q4,Wicklow,Hazardous,Medical Waste,Disposal - Incineration,12064.09,335.0
2007_Q4,Wicklow,Hazardous,Medical Waste,Disposal - Other,3016.02,75.0
2007_Q1,Wicklow,Non-Hazardous,Agricultural Waste,Disposal - Landfill,8991.98,32.0
2007_Q4,Wicklow,Non-Hazardous,Agricultural Waste,Recovery - Composting,8991.98,65.3
2007_Q4,Wicklow,Non-Hazardous,Agricultural Waste,Disposal - Other,4495.99,58.77
2007_Q4,Wicklow,Non-Hazardous,Construction and Demolition Waste,Disposal - Landfill,4819.6,48.05
2007_Q4,Wicklow,Non-Hazardous,Construction and Demolition Waste,Recovery - Recycling,,23.0
2007_Q1,Wicklow,Non-Hazardous,Industrial Non-Hazardous Waste,Disposal - Landfill,6508.91,58.8
2007_Q1,Wicklow,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Recycling,6508.91,65.5
2007_Q4,Wicklow,Non-Hazardous,Industrial Non-Hazardous Waste,Recovery - Energy Recovery,3254.45,59.0
2007_Q4,Wicklow,Non-Hazardous,Municipal Solid Waste,,4632.11,75.45
2007_Q1,Wicklow,Non-Hazardous,Municipal Solid Waste,Recovery - Recycling,2779.27,57.09
2007_Q4,Wicklow,Non-Hazardous,Municipal Solid Waste,Recovery - Energy Recovery,,50.34
2007_Q4,Wicklow,,Organic Waste,Recovery - Composting,11949.74,80.0
2007_Q4,Wicklow,,Organic Waste,Recovery - Energy Recovery,5121.32,60.0
2008_Q1,Antrim,Hazardous,Chemical Waste,Disposal - Incineration,12412.88,75.72
2008_Q1,Antrim,Hazardous,Chemical Waste,Disposal - Other,5319.0,66.0
2008_Q1,Antrim,Hazardous,Electronic Waste,Recovery - Recycling,11596.39,218.0
2008_Q1,Antrim,Hazardous,,Disposal - Other,1288.49,55.97
